,0,1,2,Latitude,Longitude
0,19981,0,2019-06-13 12:16:42.516090,52.510330915,13.37009199
1,13146,0,2019-06-13 12:16:42.516090,52.5168572025,13.385787095
2,15297,0,2019-06-13 12:16:42.516090,52.501848165,13.2741147
3,13762,0,2019-06-13 12:16:42.516090,52.4906201075,13.4478865825
4,15334,0,2019-06-13 12:16:42.516090,52.480938365,13.371543155
5,13118,0,2019-06-13 12:16:42.516090,52.50969478,13.37932001
6,14690,0,2019-06-13 12:16:42.516090,52.5284267,13.3720175
7,14470,0,2019-06-13 12:16:42.516090,52.5061818,13.3223122
8,14289,0,2019-06-13 12:16:42.516090,52.4819437,13.3295706
9,15862,0,2019-06-13 12:16:42.516090,52.5093338,13.4842684
10,14250,0,2019-06-13 12:16:42.516090,52.5302978,13.4018318
11,14229,0,2019-06-13 12:16:42.516090,52.4689927,13.3702136
12,16360,0,2019-06-13 12:16:42.516090,52.4887906,13.2846255
13,15312,0,2019-06-13 12:16:42.516090,52.4969137,13.2901032
14,15906,0,2019-06-13 12:16:42.516090,52.4689591,13.4666186
15,14340,0,2019-06-13 12:16:42.516090,52.503439,13.4573859
16,16302,0,2019-06-13 12:16:42.516090,52.5028969,13.2993859
17,14490,0,2019-06-13 12:16:42.516090,52.4641057,13.4750597
18,14459,0,2019-06-13 12:16:42.516090,52.4642435,13.4752035
19,16280,0,2019-06-13 12:16:42.516090,52.5632312,13.3542186
20,13362,0,2019-06-13 12:16:42.516090,52.4948587,13.3129268
21,14807,0,2019-06-13 12:16:42.516090,52.5195321,13.4370148
22,13855,0,2019-06-13 12:16:42.516090,52.5410359,13.3767996
23,13025,0,2019-06-13 12:16:42.516090,52.5065277,13.2829297
24,13365,0,2019-06-13 12:16:42.516090,52.4707246,13.4653188
25,14255,0,2019-06-13 12:16:42.516090,52.4848026,13.4497955
26,14905,0,2019-06-13 12:16:42.516090,52.5539754,13.4656897
27,13848,0,2019-06-13 12:16:42.516090,52.542346,13.3776088
28,16121,0,2019-06-13 12:16:42.516090,52.5052005,13.4449434
29,14689,0,2019-06-13 12:16:42.516090,52.4999415,13.3231421
30,14347,0,2019-06-13 12:16:42.516090,52.5536175,13.3599348
31,16199,0,2019-06-13 12:16:42.516090,52.5222769,13.3930493
32,14210,0,2019-06-13 12:16:42.516090,52.4711382,13.4187942
33,13770,0,2019-06-13 12:16:42.516090,52.5186121,13.3962412
34,13272,0,2019-06-13 12:16:42.516090,52.4984136,13.4059681
35,16054,0,2019-06-13 12:16:42.516090,52.5024104,13.4619191
36,14768,0,2019-06-13 12:16:42.516090,52.4813045,13.3183342
37,13353,0,2019-06-13 12:16:42.516090,52.5127198,13.4043482
38,13947,0,2019-06-13 12:16:42.516090,52.5151934,13.5042217
39,13132,0,2019-06-13 12:16:42.516090,52.4806242,13.3543911
40,13291,0,2019-06-13 12:16:42.516090,52.4947376,13.3961595
41,15860,0,2019-06-13 12:16:42.516090,52.5289727,13.4325603
42,14419,0,2019-06-13 12:16:42.516090,52.5279431,13.4130861
43,13674,0,2019-06-13 12:16:42.516090,52.45293245,13.40137963
44,14810,0,2019-06-13 12:16:42.516090,52.5411128,13.3753934
45,13007,0,2019-06-13 12:16:42.516090,52.5109523,13.4935305
46,14266,0,2019-06-13 12:16:42.516090,52.4273949,13.4175884
47,16344,0,2019-06-13 12:16:42.516090,52.5162621,13.4481666
48,13515,0,2019-06-13 12:16:42.516090,52.5262742,13.3860868
49,14906,0,2019-06-13 12:16:42.516090,52.5175974,13.3238392
50,13834,0,2019-06-13 12:16:42.516090,52.5020415,13.2675517
51,14884,0,2019-06-13 12:16:42.516090,52.4875692,13.3097526
52,13252,0,2019-06-13 12:16:42.516090,52.463254,13.2943419
53,14244,0,2019-06-13 12:16:42.516090,52.5032049,13.4087322
54,13143,0,2019-06-13 12:16:42.516090,52.5498212,13.4138008
55,16357,0,2019-06-13 12:16:42.516090,52.5123663,13.3289318
56,13577,0,2019-06-13 12:16:42.516090,52.4814995,13.3202698
57,13457,0,2019-06-13 12:16:42.516090,52.482834,13.4489012
58,15136,0,2019-06-13 12:16:42.516090,52.5009881,13.4772068
59,13210,0,2019-06-13 12:16:42.516090,52.5467749,13.4211314
60,13736,0,2019-06-13 12:16:42.516090,52.5208029,13.315863
61,15392,0,2019-06-13 12:16:42.516090,52.4838698,13.3295395
62,15225,0,2019-06-13 12:16:42.516090,52.4977079,13.3959215
63,16216,0,2019-06-13 12:16:42.516090,52.539013,13.3809761
64,13347,0,2019-06-13 12:16:42.516090,52.510321,13.5046521
65,16006,0,2019-06-13 12:16:42.516090,52.505282,13.2972033
66,13078,0,2019-06-13 12:16:42.516090,52.4953888,13.3814386
67,14817,0,2019-06-13 12:16:42.516090,52.521078,13.4860832
68,13006,0,2019-06-13 12:16:42.516090,52.5194657,13.3188201
69,14388,0,2019-06-13 12:16:42.516090,52.5030231,13.4825956
70,16140,0,2019-06-13 12:16:42.516090,52.5093725,13.4521642
71,14926,0,2019-06-13 12:16:42.516090,52.4779749,13.4381534
72,13513,0,2019-06-13 12:16:42.516090,52.5162785,13.3334919
73,14893,0,2019-06-13 12:16:42.516090,52.496948,13.2976227
74,15221,0,2019-06-13 12:16:42.516090,52.5208235,13.3157093
75,16061,0,2019-06-13 12:16:42.516090,52.4880729,13.3003376
76,13679,0,2019-06-13 12:16:42.516090,52.4610634,13.3247039
77,15351,0,2019-06-13 12:16:42.516090,52.5463665,13.3808507
78,13673,0,2019-06-13 12:16:42.516090,52.4948063,13.3676249
79,13424,0,2019-06-13 12:16:42.516090,52.6129643,13.3147859
80,13773,0,2019-06-13 12:16:42.516090,52.5209807,13.3909624
81,13792,0,2019-06-13 12:16:42.516090,52.5073518,13.3756315
82,13572,0,2019-06-13 12:16:42.516090,52.5299879,13.4362612
83,16345,0,2019-06-13 12:16:42.516090,52.5540497,13.4644795
84,15265,0,2019-06-13 12:16:42.516090,52.5079162,13.413174
85,14009,0,2019-06-13 12:16:42.516090,52.5257656,13.3202356
86,13712,0,2019-06-13 12:16:42.516090,52.4977987,13.3959764
87,15048,0,2019-06-13 12:16:42.516090,52.478165,13.3294255
88,13695,0,2019-06-13 12:16:42.516090,52.4963469,13.2881262
89,14105,0,2019-06-13 12:16:42.516090,52.4813878,13.5218281
90,16236,0,2019-06-13 12:16:42.516090,52.4987805,13.4119314
91,16003,0,2019-06-13 12:16:42.516090,52.4906985,13.3053348
92,14452,0,2019-06-13 12:16:42.516090,52.5146177,13.419755
93,14650,0,2019-06-13 12:16:42.516090,52.5175441,13.4371267
94,14917,0,2019-06-13 12:16:42.516090,52.4958678,13.3210328
95,14834,0,2019-06-13 12:16:42.516090,52.4837061,13.3420006
96,13207,0,2019-06-13 12:16:42.516090,52.4990987,13.3626122
97,16098,0,2019-06-13 12:16:42.516090,52.5582081,13.3924307
98,14307,0,2019-06-13 12:16:42.516090,52.4927642,13.365177
99,14271,0,2019-06-13 12:16:42.516090,52.4919243,13.4778899
100,14540,0,2019-06-13 12:16:42.516090,52.5705047,13.4076717
101,14542,0,2019-06-13 12:16:42.516090,52.5724522,13.4111187
102,14760,0,2019-06-13 12:16:42.516090,52.5724355,13.4111221
103,13333,0,2019-06-13 12:16:42.516090,52.4813921,13.3747079
104,13412,0,2019-06-13 12:16:42.516090,52.4964558,13.4227763
105,13874,0,2019-06-13 12:16:42.516090,52.5069215,13.5048667
106,13918,0,2019-06-13 12:16:42.516090,52.5509639,13.3737721
107,14162,0,2019-06-13 12:16:42.516090,52.5197309,13.4017514
108,13187,0,2019-06-13 12:16:42.516090,52.5116575,13.4961245
109,13285,0,2019-06-13 12:16:42.516090,52.5193866,13.4018318
110,13958,0,2019-06-13 12:16:42.516090,52.465709,13.3701809
111,14436,0,2019-06-13 12:16:42.516090,52.4875902,13.301033
112,16197,0,2019-06-13 12:16:42.516090,52.48523,13.3160552
113,14956,0,2019-06-13 12:16:42.516090,52.5180535,13.3598157
114,16081,0,2019-06-13 12:16:42.516090,52.5675961,13.5038421
115,14123,0,2019-06-13 12:16:42.516090,52.4903464,13.4074091
116,14945,0,2019-06-13 12:16:42.516090,52.5198716,13.280053
117,14759,0,2019-06-13 12:16:42.516090,52.5198217,13.5260389
118,14294,0,2019-06-13 12:16:42.516090,52.4728042,13.4549659
119,15019,0,2019-06-13 12:16:42.516090,52.4865135,13.3210743
120,14346,0,2019-06-13 12:16:42.516090,52.4928966,13.3654574
121,16044,0,2019-06-13 12:16:42.516090,52.4455193,13.4496068
122,16159,0,2019-06-13 12:16:42.516090,52.5064691,13.2801349
123,16366,0,2019-06-13 12:16:42.516090,52.4945349,13.3140111
124,13241,0,2019-06-13 12:16:42.516090,52.4980959,13.4349966
125,14513,0,2019-06-13 12:16:42.516090,52.5097716,13.5088836
126,15226,0,2019-06-13 12:16:42.516090,52.4724143,13.3309457
127,15872,0,2019-06-13 12:16:42.516090,52.4724115,13.3308063
128,16153,0,2019-06-13 12:16:42.516090,52.4978514,13.2924951
129,15218,0,2019-06-13 12:16:42.516090,52.4645725,13.4194994
130,13453,0,2019-06-13 12:16:42.516090,52.4927779,13.4354193
131,13246,0,2019-06-13 12:16:42.516090,52.4926976,13.435384
132,15053,0,2019-06-13 12:16:42.516090,52.5134915,13.5204753
133,16251,0,2019-06-13 12:16:42.516090,52.4736069,13.4579299
134,14189,0,2019-06-13 12:16:42.516090,52.5468702,13.2110846
135,14808,0,2019-06-13 12:16:42.516090,52.5468156,13.211073
136,16176,0,2019-06-13 12:16:42.516090,52.4881002,13.301286
137,14897,0,2019-06-13 12:16:42.516090,52.4880295,13.4137349
138,13180,0,2019-06-13 12:16:42.516090,52.560996,13.4205308
139,13757,0,2019-06-13 12:16:42.516090,52.4874529,13.4135247
140,15939,0,2019-06-13 12:16:42.516090,52.5764093,13.294824
141,16183,0,2019-06-13 12:16:42.516090,52.495813,13.3797686
142,14054,0,2019-06-13 12:16:42.516090,52.4980913,13.4348135
143,14588,0,2019-06-13 12:16:42.516090,52.5325274,13.3855873
144,16127,0,2019-06-13 12:16:42.516090,52.5522252,13.4301557
145,14140,0,2019-06-13 12:16:42.516090,52.498803,13.4383458
146,14312,0,2019-06-13 12:16:42.516090,52.5139835,13.4350506
147,14984,0,2019-06-13 12:16:42.516090,52.528767,13.2995126
148,15902,0,2019-06-13 12:16:42.516090,52.519503,13.365032
149,13271,0,2019-06-13 12:16:42.516090,52.496899,13.3874245
150,13797,0,2019-06-13 12:16:42.516090,52.4995166,13.4325407
151,16181,0,2019-06-13 12:16:42.516090,52.5417605,13.3780139
152,19998,0,2019-06-13 12:16:42.516090,52.4802641,13.4381537
153,14562,0,2019-06-13 12:16:42.516090,52.4881865,13.5236831
154,13905,0,2019-06-13 12:16:42.516090,52.4871997,13.4077578
155,14348,0,2019-06-13 12:16:42.516090,52.4905237,13.4563223
156,14382,0,2019-06-13 12:16:42.516090,52.4997091,13.3628271
157,14213,0,2019-06-13 12:16:42.516090,52.5228555,13.2852652
158,15920,0,2019-06-13 12:16:42.516090,52.4810858,13.4276867
159,14349,0,2019-06-13 12:16:42.516090,52.4974038,13.4411964
160,14284,0,2019-06-13 12:16:42.516090,52.4911492,13.4111826
161,13423,0,2019-06-13 12:16:42.516090,52.4818431,13.3239097
162,14055,0,2019-06-13 12:16:42.516090,52.488402,13.3017811
163,14858,0,2019-06-13 12:16:42.516090,52.5228958,13.2853141
164,14079,0,2019-06-13 12:16:42.516090,52.5228857,13.2851772
165,14004,0,2019-06-13 12:16:42.516090,52.483142,13.3861803
166,13205,0,2019-06-13 12:16:42.516090,52.5175241,13.4371894
167,14995,0,2019-06-13 12:16:42.516090,52.5291735,13.2965448
168,15842,0,2019-06-13 12:16:42.516090,52.497653,13.3958801
169,15257,0,2019-06-13 12:16:42.516090,52.5800189,13.3426947
170,16184,0,2019-06-13 12:16:42.516090,52.4987479,13.2882996
171,13405,0,2019-06-13 12:16:42.516090,52.5105125,13.4591866
172,15086,0,2019-06-13 12:16:42.516090,52.518717,13.4388034
173,15921,0,2019-06-13 12:16:42.516090,52.4899713,13.3310932
174,14386,0,2019-06-13 12:16:42.516090,52.4971109,13.3241965
175,13911,0,2019-06-13 12:16:42.516090,52.4929989,13.3266524
176,14888,0,2019-06-13 12:16:42.516090,52.4850187,13.3379727
177,14603,0,2019-06-13 12:16:42.516090,52.4894881,13.3635031
178,13221,0,2019-06-13 12:16:42.516090,52.4799125,13.3233321
179,15108,0,2019-06-13 12:16:42.516090,52.5234603,13.4357718
180,15095,0,2019-06-13 12:16:42.516090,52.5080338,13.3323346
181,13578,0,2019-06-13 12:16:42.516090,52.4694618,13.4237674
182,16359,0,2019-06-13 12:16:42.516090,52.5024606,13.4664808
183,13367,0,2019-06-13 12:16:42.516090,52.5274579,13.3286625
184,15163,0,2019-06-13 12:16:42.516090,52.4899614,13.3640957
185,13664,0,2019-06-13 12:16:42.516090,52.4991312,13.4154685
186,13859,0,2019-06-13 12:16:42.516090,52.5430072,13.3765388
187,16293,0,2019-06-13 12:16:42.516090,52.4915538,13.3659068
188,16128,0,2019-06-13 12:16:42.516090,52.5445915,13.3790987
189,16213,0,2019-06-13 12:16:42.516090,52.5501257,13.3606209
190,14198,0,2019-06-13 12:16:42.516090,52.4979055,13.4351468
191,16052,0,2019-06-13 12:16:42.516090,52.4890605,13.4148092
192,13075,0,2019-06-13 12:16:42.516090,52.5260837,13.3691604
193,14684,0,2019-06-13 12:16:42.516090,52.528637,13.3484901
194,13222,0,2019-06-13 12:16:42.516090,52.4873627,13.328748
195,13998,0,2019-06-13 12:16:42.516090,52.5425427,13.3661481
196,13371,0,2019-06-13 12:16:42.516090,52.5080212,13.4490719
197,13721,0,2019-06-13 12:16:42.516090,52.5277873,13.3251445
198,14907,0,2019-06-13 12:16:42.516090,52.4980347,13.39936
199,14239,0,2019-06-13 12:16:42.516090,52.5548517,13.4527124
200,14605,0,2019-06-13 12:16:42.516090,52.5095891,13.2735871
201,14029,0,2019-06-13 12:16:42.516090,52.518196,13.4107084
202,15923,0,2019-06-13 12:16:42.516090,52.5376358,13.3612393
203,16162,0,2019-06-13 12:16:42.516090,52.4788466,13.3241661
204,14939,0,2019-06-13 12:16:42.516090,52.5426419,13.3661501
205,13253,0,2019-06-13 12:16:42.516090,52.5191478,13.3674566
206,13842,0,2019-06-13 12:16:42.516090,52.5238131,13.3995367
207,16152,0,2019-06-13 12:16:42.516090,52.5101117,13.4445547
208,15911,0,2019-06-13 12:16:42.516090,52.4904075,13.3629189
209,14344,0,2019-06-13 12:16:42.516090,52.493319,13.3677232
210,14550,0,2019-06-13 12:16:42.516090,52.4893707,13.3922997
211,14851,0,2019-06-13 12:16:42.516090,52.5430754,13.426612
212,16071,0,2019-06-13 12:16:42.516090,52.5445783,13.3758613
213,15154,0,2019-06-13 12:16:42.516090,52.5237548,13.4120498
214,14963,0,2019-06-13 12:16:42.516090,52.5179384,13.341929
215,13789,0,2019-06-13 12:16:42.516090,52.4902278,13.3248875
216,15214,0,2019-06-13 12:16:42.516090,52.5457549,13.4016089
217,14918,0,2019-06-13 12:16:42.516090,52.5338512,13.4873722
218,15344,0,2019-06-13 12:16:42.516090,52.4990127,13.3712011
219,15802,0,2019-06-13 12:16:42.516090,52.4997597,13.3999089
220,16250,0,2019-06-13 12:16:42.516090,52.5478607,13.3744346
221,16207,0,2019-06-13 12:16:42.516090,52.5478418,13.3744137
222,14043,0,2019-06-13 12:16:42.516090,52.51373983,13.38908323
223,14323,0,2019-06-13 12:16:42.516090,52.5257257,13.3082075
224,16182,0,2019-06-13 12:16:42.516090,52.4779557,13.3287154
225,13455,0,2019-06-13 12:16:42.516090,52.5005114,13.4393454
226,13426,0,2019-06-13 12:16:42.516090,52.4970346,13.4786752
227,14247,0,2019-06-13 12:16:42.516090,52.5162871,13.4057934
228,13950,0,2019-06-13 12:16:42.516090,52.4836433,13.3286438
229,16331,0,2019-06-13 12:16:42.516090,52.4823024,13.3035694
230,14973,0,2019-06-13 12:16:42.516090,52.5118091,13.3013829
231,15046,0,2019-06-13 12:16:42.516090,52.4960672,13.3894779
232,14786,0,2019-06-13 12:16:42.516090,52.4812502,13.455574
233,15318,0,2019-06-13 12:16:42.516090,52.5278775,13.4015865
234,16099,0,2019-06-13 12:16:42.516090,52.4987659,13.4162037
235,14339,0,2019-06-13 12:16:42.516090,52.5012813,13.2967537
236,13312,0,2019-06-13 12:16:42.516090,52.4706586,13.3300272
237,15082,0,2019-06-13 12:16:42.516090,52.5363356,13.3660447
238,13563,0,2019-06-13 12:16:42.516090,52.5296072,13.436619
239,13606,0,2019-06-13 12:16:42.516090,52.4865753,13.3203742
240,14072,0,2019-06-13 12:16:42.516090,52.4865451,13.3204365
241,15358,0,2019-06-13 12:16:42.516090,52.5455916,13.399745
242,13941,0,2019-06-13 12:16:42.516090,52.482777,13.4436285
243,15336,0,2019-06-13 12:16:42.516090,52.4707985,13.42016327
244,14526,0,2019-06-13 12:16:42.516090,52.4610141,13.3847384
245,13158,0,2019-06-13 12:16:42.516090,52.5498354,13.4536404
246,13927,0,2019-06-13 12:16:42.516090,52.497909,13.3916527
247,13188,0,2019-06-13 12:16:42.516090,52.4232969,13.4686669
248,14743,0,2019-06-13 12:16:42.516090,52.4979503,13.3917333
249,16137,0,2019-06-13 12:16:42.516090,52.5359661,13.3763536
250,13707,0,2019-06-13 12:16:42.516090,52.4724213,13.3344775
251,13623,0,2019-06-13 12:16:42.516090,52.5368572,13.6001625
252,16168,0,2019-06-13 12:16:42.516090,52.5181096,13.3418534
253,13073,0,2019-06-13 12:16:42.516090,52.4808118,13.4203624
254,15881,0,2019-06-13 12:16:42.516090,52.480595,13.4201984
255,15068,0,2019-06-13 12:16:42.516090,52.5003565,13.4647346
256,16363,0,2019-06-13 12:16:42.516090,52.5253514,13.3138904
257,14672,0,2019-06-13 12:16:42.516090,52.5006199,13.3924166
258,14416,0,2019-06-13 12:16:42.516090,52.5563034,13.3773409
259,13155,0,2019-06-13 12:16:42.516090,52.4984572,13.4123064
260,15298,0,2019-06-13 12:16:42.516090,52.5001789,13.3190849
261,15229,0,2019-06-13 12:16:42.516090,52.496096,13.4420598
262,14947,0,2019-06-13 12:16:42.516090,52.4876687,13.3599209
263,16101,0,2019-06-13 12:16:42.516090,52.485607,13.3447144
264,13933,0,2019-06-13 12:16:42.516090,52.4849599,13.3814996
265,14836,0,2019-06-13 12:16:42.516090,52.4674844,13.4218754
266,13305,0,2019-06-13 12:16:42.516090,52.4868244,13.3919885
267,14887,0,2019-06-13 12:16:42.516090,52.4906882,13.3914418
268,14902,0,2019-06-13 12:16:42.516090,52.4704762,13.347191
269,13484,0,2019-06-13 12:16:42.516090,52.4724032,13.3308169
270,13991,0,2019-06-13 12:16:42.516090,52.4855431,13.34477
271,13039,0,2019-06-13 12:16:42.516090,52.4855372,13.3446749
272,13352,0,2019-06-13 12:16:42.516090,52.489816,13.3939811
273,13231,0,2019-06-13 12:16:42.516090,52.4907079,13.4234808
274,13170,0,2019-06-13 12:16:42.516090,52.525716,13.3080193
275,13708,0,2019-06-13 12:16:42.516090,52.5257061,13.3080409
276,13477,0,2019-06-13 12:16:42.516090,52.5311607,13.341321
277,13254,0,2019-06-13 12:16:42.516090,52.5608116,13.3881246
278,15270,0,2019-06-13 12:16:42.516090,52.4875626,13.3928213
279,13399,0,2019-06-13 12:16:42.516090,52.4875525,13.3927966
280,15099,0,2019-06-13 12:16:42.516090,52.4832356,13.437045
281,15205,0,2019-06-13 12:16:42.516090,52.501757,13.3378374
282,15836,0,2019-06-13 12:16:42.516090,52.4944361,13.3795786
283,15839,0,2019-06-13 12:16:42.516090,52.5399856,13.41451
284,15004,0,2019-06-13 12:16:42.516090,52.4995429,13.4375948
285,14102,0,2019-06-13 12:16:42.516090,52.4994908,13.4375029
286,13182,0,2019-06-13 12:16:42.516090,52.5281983,13.4216329
287,15935,0,2019-06-13 12:16:42.516090,52.5064514,13.3323541
288,14649,0,2019-06-13 12:16:42.516090,52.5085432,13.4032165
289,15801,0,2019-06-13 12:16:42.516090,52.5019576,13.3662033
290,15247,0,2019-06-13 12:16:42.516090,52.501817,13.3661732
291,13555,0,2019-06-13 12:16:42.516090,52.5714642,13.4288364
292,16225,0,2019-06-13 12:16:42.516090,52.4996822,13.4275989
293,14505,0,2019-06-13 12:16:42.516090,52.5075476,13.4040014
294,13022,0,2019-06-13 12:16:42.516090,52.518537,13.3216492
295,16362,0,2019-06-13 12:16:42.516090,52.5004457,13.4357234
296,14463,0,2019-06-13 12:16:42.516090,52.5197055,13.3647773
297,14368,0,2019-06-13 12:16:42.516090,52.5035423,13.3482792
298,14411,0,2019-06-13 12:16:42.516090,52.5195966,13.3072419
299,19988,0,2019-06-13 12:16:42.516090,52.5012898,13.444586
300,14288,0,2019-06-13 12:16:42.516090,52.5255435,13.3772843
301,14387,0,2019-06-13 12:16:42.516090,52.5215372,13.3248852
302,16094,0,2019-06-13 12:16:42.516090,52.5225698,13.3947826
303,14037,0,2019-06-13 12:16:42.516090,52.5140773,13.4055847
304,15008,0,2019-06-13 12:16:42.516090,52.5203232,13.299464
305,15909,0,2019-06-13 12:16:42.516090,52.4999259,13.4456506
306,13588,0,2019-06-13 12:16:42.516090,52.4854266,13.3576787
307,14556,0,2019-06-13 12:16:42.516090,52.5226737,13.4045319
308,13127,0,2019-06-13 12:16:42.516090,52.5067041,13.3500277
309,15863,0,2019-06-13 12:16:42.516090,52.5271916,13.3724978
310,13586,0,2019-06-13 12:16:42.516090,52.4945481,13.3996502
311,13895,0,2019-06-13 12:16:42.516090,52.5062257,13.4779216
312,16109,0,2019-06-13 12:16:42.516090,52.5181783,13.41836
313,13023,0,2019-06-13 12:16:42.516090,52.4785966,13.4385751
314,13335,0,2019-06-13 12:16:42.516090,52.5233889,13.3095243
315,13298,0,2019-06-13 12:16:42.516090,52.4975008,13.3619652
316,13446,0,2019-06-13 12:16:42.516090,52.4957865,13.37332447
317,13529,0,2019-06-13 12:16:42.516090,52.5089349,13.5247663
318,15883,0,2019-06-13 12:16:42.516090,52.5353583,13.4718216
319,14919,0,2019-06-13 12:16:42.516090,52.5080188,13.3227816
320,15063,0,2019-06-13 12:16:42.516090,52.5022818,13.3949418
321,14773,0,2019-06-13 12:16:42.516090,52.4941505,13.3804998
322,15209,0,2019-06-13 12:16:42.516090,52.491653,13.3870513
323,13046,0,2019-06-13 12:16:42.516090,52.5206161,13.395078
324,13879,0,2019-06-13 12:16:42.516090,52.5247191,13.3776113
325,13684,0,2019-06-13 12:16:42.516090,52.4906086,13.3632855
